"imie_nazwisko","pseudonim","data_urodzenia","miejsce_urodzenia","pod_wplywem","plec","miejsce_smierci"
"Paul von Lettow-Vorbeck","","1870-03-20T00:00:00Z","Saarlouis","","mężczyzna","Hamburg"
"Traudl Junge","","1920-03-16T00:00:00Z","Monachium","","kobieta","Monachium"
"David Friedrich Strauss","","1808-01-27T00:00:00Z","Ludwigsburg","","mężczyzna","Ludwigsburg"
"Elżbieta Charlotta z Palatynatu","","1652-05-27T00:00:00Z","Heidelberg","","kobieta","Saint-Cloud"
"Johann Friedrich Gmelin","","1748-08-08T00:00:00Z","Tybinga","","mężczyzna","Getynga"
"Clemens Brentano","","1778-09-08T00:00:00Z","Koblenz-Ehrenbreitstein","","mężczyzna","Aschaffenburg"
"Clemens Brentano","","1778-09-09T00:00:00Z","Koblenz-Ehrenbreitstein","","mężczyzna","Aschaffenburg"
"Bettina von Arnim","","1785-04-04T00:00:00Z","Frankfurt nad Menem","","kobieta","Berlin"
"Ludwig Tieck","Gottlieb Färber","1773-05-31T00:00:00Z","Berlin","","mężczyzna","Berlin"
"Ludwig Tieck","Peter Lebrecht","1773-05-31T00:00:00Z","Berlin","","mężczyzna","Berlin"
"Ernst Bloch","","1885-07-08T00:00:00Z","Ludwigshafen am Rhein","","mężczyzna","Tybinga"
"August von Kotzebue","","1761-05-03T00:00:00Z","Weimar","","mężczyzna","Mannheim"
"Paul Hindemith","","1895-11-16T00:00:00Z","Hanau","","mężczyzna","Frankfurt nad Menem"
"Peter Cornelius","","1824-12-24T00:00:00Z","Moguncja","","mężczyzna","Moguncja"
"Ernst Toller","","1893-12-01T00:00:00Z","Szamocin","","mężczyzna","Nowy Jork"
"Yoweri Museveni","","1944-09-15T00:00:00Z","Ntungamo","","mężczyzna",""
"Michael D. Higgins","","1941-04-18T00:00:00Z","Limerick","","mężczyzna",""
"Gottfried Benn","","1886-05-02T00:00:00Z","Putlitz","","mężczyzna","Berlin"
"August Wilhelm Schlegel","","1767-09-08T00:00:00Z","Hanower","","mężczyzna","Bonn"
"Annette von Droste-Hülshoff","","1797-01-10T00:00:00Z","Zamek Hülshoff","","kobieta","Zamek Meersburg"
"Annette von Droste-Hülshoff","","1797-01-12T00:00:00Z","Zamek Hülshoff","","kobieta","Zamek Meersburg"
"Peter Weiss","","1916-11-08T00:00:00Z","Nowawes","","mężczyzna","Sztokholm"
"Karl Rahner","","1904-03-05T00:00:00Z","Fryburg Bryzgowijski","","mężczyzna","Innsbruck"
"Anton Praetorius","","1560-01-01T00:00:00Z","Lippstadt","","mężczyzna","Laudenbach"
"William Stern","","1871-04-29T00:00:00Z","Berlin","","mężczyzna","Durham"
"Ernst Moritz Arndt","","1769-01-26T00:00:00Z","Groß Schoritz","","mężczyzna","Bonn"
"Ernst Moritz Arndt","","1769-12-26T00:00:00Z","Groß Schoritz","","mężczyzna","Bonn"
"Gustav Noske","","1868-07-09T00:00:00Z","Brandenburg an der Havel","","mężczyzna","Hanower"
"Hans Pfitzner","","1869-05-05T00:00:00Z","Moskwa","","mężczyzna","Salzburg"
"Andrea Claßen","","1955-09-26T00:00:00Z","Krefeld","","kobieta",""
"Heinrich Wolfgang Seidel","","1876-08-28T00:00:00Z","Berlin","","mężczyzna","Starnberg"
"Valentin Triller","","1493-01-01T00:00:00Z","Góra","","mężczyzna","Niemcza"
"Johannes Kreidler","","1946-01-01T00:00:00Z","Horb am Neckar","","mężczyzna",""
"Jenny von Pappenheim","","1811-09-07T00:00:00Z","Stammen","","kobieta",""
"Rudolf von Waldenfels","","1965-04-26T00:00:00Z","Jülich","","mężczyzna",""
"Anna Blos","","1866-08-04T00:00:00Z","Legnica","","kobieta","Stuttgart"
"Robert Koenig","","1828-01-01T00:00:00Z","Gdańsk","","mężczyzna","Poczdam"
"Larry Hagman","","1931-09-21T00:00:00Z","Fort Worth","","mężczyzna","Dallas"
"Anton Sommer","","1816-12-11T00:00:00Z","Rudolstadt","","mężczyzna","Rudolstadt"
"Martin Schäuble","","1978-12-07T00:00:00Z","","","mężczyzna",""
"Stephan Fridolin","","1430-01-01T00:00:00Z","Winnenden","","mężczyzna",""
"Michael Ranft","","1700-01-01T00:00:00Z","Güldengossa","","mężczyzna","Q996000"
"Lois Fisher-Ruge","","1940-01-01T00:00:00Z","Hartford","","kobieta",""
"Walter Calé","","1881-01-01T00:00:00Z","Berlin","","mężczyzna","Fryburg Bryzgowijski"
"Jacob Gabriel Wolf","","1684-01-01T00:00:00Z","Greifswald","","mężczyzna","Halle"
"Willi Reschke","","1922-02-03T00:00:00Z","Krosno Odrzańskie","","mężczyzna","Turyngia"
"Willibald Sauerländer","","1924-02-29T00:00:00Z","Bad Waldsee","","mężczyzna",""
"Wolfgang Jöhling","","1944-01-01T00:00:00Z","Görlitz","","mężczyzna",""
"Wilhelm Weigand","","1862-03-13T00:00:00Z","","","mężczyzna","Monachium"
"Silvia Arroyo Camejo","","1986-01-01T00:00:00Z","Berlin","","kobieta",""
"Ernesto Kroch","","1917-02-11T00:00:00Z","Wrocław","","mężczyzna","Frankfurt nad Menem"
"Mareike Krügel","","1977-01-01T00:00:00Z","Kilonia","","kobieta",""
"Werner Schreib","","1925-01-01T00:00:00Z","Berlin","","mężczyzna","Lorsch"
"Wilhelm Baur","","1826-01-01T00:00:00Z","Lindenfels","","mężczyzna","Koblencja"
"Hermann Bellebaum","","1805-01-01T00:00:00Z","Siegen","","mężczyzna",""
"Lukas Hammerstein","","1958-01-01T00:00:00Z","Fryburg Bryzgowijski","","mężczyzna",""
"Daniela Castner","","1948-05-16T00:00:00Z","Berlin","","kobieta",""
"Nicolas de Crosta","","1900-08-30T00:00:00Z","Poczdam","","mężczyzna","Schmargendorf"
"Alfred Lemm","","1889-01-01T00:00:00Z","Berlin","","mężczyzna","Berlin"
"Friedrich Eberhard Rambach","","1767-07-14T00:00:00Z","Quedlinburg","","mężczyzna","Tallinn"
"Dilek Zaptçıoğlu","","1959-01-01T00:00:00Z","Stambuł","","kobieta",""
"Ernst Hannawald","","1959-10-20T00:00:00Z","Stephanskirchen","","mężczyzna",""
"Tessa Korber","","1966-01-01T00:00:00Z","Grünstadt","","kobieta",""
"Ewald von Demandowsky","","1906-10-21T00:00:00Z","Berlin","","mężczyzna","Berlin"
"Diebold Lauber","","","","","mężczyzna",""
"Friedrich Eberhard von Rochow","","1734-10-11T00:00:00Z","Berlin","","mężczyzna","Reckahn"
"Fedor Sommer","","1864-09-21T00:00:00Z","Dobromierz","","mężczyzna","Jelenia Góra"
"Kurt Lütgen","","1911-11-25T00:00:00Z","Pomorze","","mężczyzna","Bad Salzuflen"
"Wolfgang Funke","","1937-01-01T00:00:00Z","Glauchau","","mężczyzna",""
"Sabine Thiesler","","1957-01-01T00:00:00Z","Berlin","","kobieta",""
"Wolfgang Johannes Bekh","","1925-04-14T00:00:00Z","Monachium","","mężczyzna","Fraunberg"
"Guido Henkel","","1964-09-09T00:00:00Z","Stuttgart","","mężczyzna",""
"Alfons Rosenberg","","1902-01-06T00:00:00Z","Monachium","","mężczyzna","Zurych"
"Minni Boh","","1858-07-11T00:00:00Z","Geestemünde","","kobieta","Pillnitz"
"Nathanael Chytraeus","","1543-01-01T00:00:00Z","Menzingen","","mężczyzna","Brema"
"Nathanael Chytraeus","","1543-03-15T00:00:00Z","Menzingen","","mężczyzna","Brema"
"Johann Benjamin Erhard","","1766-02-08T00:00:00Z","Norymberga","","mężczyzna","Berlin"
"Johann Anton Trinius","","1722-01-01T00:00:00Z","Altenroda","","mężczyzna","Eisleben"
"Gerold Tietz","","1941-01-01T00:00:00Z","Horka","","mężczyzna","Esslingen am Neckar"
"Fedor von Zobeltitz","","1857-10-05T00:00:00Z","","","mężczyzna","Berlin"
"Hauke Lange-Fuchs","","1934-01-01T00:00:00Z","Kilonia","","mężczyzna",""
"Erwin Bootz","","1907-01-01T00:00:00Z","Szczecin","","mężczyzna","Hamburg"
"Arnold Mallinckrodt","","1768-03-27T00:00:00Z","Dortmund","","mężczyzna","Dortmund"
"Friedrich Noack","","1858-04-20T00:00:00Z","Gießen","","mężczyzna","Fryburg Bryzgowijski"
"Herbert Gruhl","","1921-01-01T00:00:00Z","Doberschau-Gaußig","","mężczyzna","Ratyzbona"
"Johano Strasser","","1939-01-01T00:00:00Z","Leeuwarden","","mężczyzna",""
"Karl Otto Schmidt","","1904-01-26T00:00:00Z","Laboe","","mężczyzna","Reutlingen"
"Wilhelm Fucks","","1902-01-01T00:00:00Z","Leverkusen","","mężczyzna","Kolonia"
"Wilfried Huismann","","1951-01-01T00:00:00Z","Apen","","mężczyzna",""
"Karl Friedrich Behrens","","1701-01-01T00:00:00Z","Rostock","","mężczyzna",""
"Peter Niklas Wilson","","1957-01-01T00:00:00Z","Hamburg","","mężczyzna",""
"Richard Friedenthal","","1896-06-09T00:00:00Z","Monachium","","mężczyzna","Kilonia"
"David Friedrich Weinland","","1829-08-30T00:00:00Z","Grabenstetten","","mężczyzna",""
"Siegfried Obermeier","","1936-01-01T00:00:00Z","Monachium","","mężczyzna","Oberschleißheim"
"Martin Geck","","1936-03-19T00:00:00Z","Witten","","mężczyzna",""
"Samuel Crell-Spinowski","","1660-03-25T00:00:00Z","Kluczbork","","mężczyzna","Amsterdam"
"Ernst Sonnemann","","1630-01-01T00:00:00Z","Ahlden (Aller)","","mężczyzna",""
"Elisabeth Augustin","Elisabeth Augustin","1903-06-13T00:00:00Z","Berlin","","kobieta","Amsterdam"
"Friedrich-Karl von Plehwe","","1912-01-01T00:00:00Z","Wrzeszcz","","mężczyzna",""
"Gabor Steingart","","1962-01-01T00:00:00Z","Berlin","","mężczyzna",""
"Gregor Schwake","","1892-01-01T00:00:00Z","Emmerich am Rhein","","mężczyzna","Billerbeck"
"Gerd Oelschlegel","","1926-10-28T00:00:00Z","Lipsk","","mężczyzna","Herrsching am Ammersee"
"Hugo Sholto von Douglas","","1837-01-01T00:00:00Z","Aschersleben","","mężczyzna","Berlin"
"Henriette Catharina von Gersdorff","","1648-10-06T00:00:00Z","Sulzbach-Rosenberg","","kobieta","Großhennersdorf"
"Ernst Dronke","","1822-11-17T00:00:00Z","Koblencja","","mężczyzna","Liverpool"
"Friedrich Eduard Bilz","","1842-06-12T00:00:00Z","Arnsdorf","","mężczyzna","Radebeul"
"Friedrich Eduard Bilz","","1842-07-12T00:00:00Z","Arnsdorf","","mężczyzna","Radebeul"
"Christian Broecking","","1957-06-05T00:00:00Z","Flensburg","","mężczyzna",""
"Bruno Goetz","","1885-11-06T00:00:00Z","Ryga","","mężczyzna","Zurych"
"Rudolf Jung","R. Young","1907-01-01T00:00:00Z","Westfalia","","mężczyzna","Berlin"
"Rudolf Jung","Christian Graf","1907-01-01T00:00:00Z","Westfalia","","mężczyzna","Berlin"
"Rudolf Jung","Coc-Jo","1907-01-01T00:00:00Z","Westfalia","","mężczyzna","Berlin"
"Rudolf Jung","Ernst Ohlmann","1907-01-01T00:00:00Z","Westfalia","","mężczyzna","Berlin"
"Rudolf Jung","Rudolf Burkhardt","1907-01-01T00:00:00Z","Westfalia","","mężczyzna","Berlin"
"Gaby Hauptmann","","1957-05-14T00:00:00Z","Trossingen","","kobieta",""
"Rainer Hoffschildt","","1948-06-09T00:00:00Z","Güstrow","","mężczyzna",""
"Hans Siemsen","Pfarrer Silesius","1891-03-27T00:00:00Z","Hamm","","mężczyzna","Essen"
"Bahá'u'lláh","","1817-11-12T00:00:00Z","Teheran","","mężczyzna","Akka"
"Diederich Georg Babst","","1741-07-24T00:00:00Z","Schwerin","","mężczyzna","Rostock"
"Luneberg Mushard","","1672-01-01T00:00:00Z","Loxstedt","","mężczyzna","Brema"
"Hermann Wette","","1857-05-16T00:00:00Z","Ascheberg","","mężczyzna","Wiesloch"
"Georg Julius Berling","","1817-05-30T00:00:00Z","Altenkirchen","","mężczyzna","Anklam"
"Heinrich Wesche","","1904-02-08T00:00:00Z","Hillerse","","mężczyzna",""
"Martina Nöth","","1975-01-01T00:00:00Z","Würzburg","","kobieta",""
"Matthias Jorissen","","1739-01-01T00:00:00Z","Wesel","","mężczyzna","Haga"
"Greta Schoon","","1909-01-01T00:00:00Z","Q1552159","","kobieta","Leer"
"Bernhard Trittelvitz","","1878-07-22T00:00:00Z","Ostre Bardo","","mężczyzna",""
"Dieter Hasselblatt","","1926-01-01T00:00:00Z","Tallinn","","mężczyzna","Neuwied"
"Günther Siegmund","","1927-05-16T00:00:00Z","Hamburg","","mężczyzna","Garda"
"Holger Bertrand Flöttmann","","1946-01-01T00:00:00Z","Gütersloh","","mężczyzna",""
"Georg Christian Dieffenbach","","1822-01-01T00:00:00Z","Schlitz","","mężczyzna","Schlitz"
"György Pray","","1723-01-11T00:00:00Z","Nowe Zamki","","mężczyzna","Peszt"
"Margret Kreidl","","1964-01-01T00:00:00Z","Salzburg","","kobieta",""
"Louise von François","","1817-06-27T00:00:00Z","Herzberg","","kobieta","Weißenfels"
"Heinrich Joseph von Collin","","1772-12-26T00:00:00Z","Wiedeń","","mężczyzna","Wiedeń"
"Christian Gottlob Barth","","1799-07-31T00:00:00Z","Stuttgart","","mężczyzna","Calw"
"Michael Haberlandt","","1860-09-26T00:00:00Z","Mosonmagyaróvár","","mężczyzna","Wiedeń"
"Michael Haberlandt","","1860-09-29T00:00:00Z","Mosonmagyaróvár","","mężczyzna","Wiedeń"
"Rudolf Kassner","","1873-11-09T00:00:00Z","Velké Pavlovice","","mężczyzna","Valais"
"Rudolf Kassner","","1873-11-11T00:00:00Z","Velké Pavlovice","","mężczyzna","Valais"
"Alexander Roda Roda","","1872-04-13T00:00:00Z","Drnovice","","mężczyzna","Nowy Jork"
"Anton Wildgans","","1881-04-17T00:00:00Z","Wiedeń","","mężczyzna","Mödling"
"Clemens Berger","","1979-05-20T00:00:00Z","Güssing","","mężczyzna",""
"Peter Paul Wiplinger","","1939-06-25T00:00:00Z","Haslach an der Mühl","","mężczyzna",""
"Andreas Hyperius","","1511-05-16T00:00:00Z","Ypres","","mężczyzna","Marburg"
"Wolfgang Krause","","1895-09-18T00:00:00Z","Steglitz","","mężczyzna","Getynga"
"Ada Christen","","1839-03-06T00:00:00Z","Wiedeń","","kobieta","Inzersdorf"
"Robert A. Stemmle","","1903-06-10T00:00:00Z","Magdeburg","","mężczyzna","Baden-Baden"
"Lisbeth Zwerger","","1954-05-26T00:00:00Z","Wiedeń","","kobieta",""
"Peter Waterhouse","","1956-03-24T00:00:00Z","Berlin","","mężczyzna",""
"Karl König","","1902-09-25T00:00:00Z","Wiedeń","","mężczyzna","Überlingen"
"Alois Podhajsky","","1898-02-24T00:00:00Z","Mostar","","mężczyzna","Wiedeń"
"Robert Jan Verbelen","","1911-04-05T00:00:00Z","Flandria","","mężczyzna","Wiedeń"
"Rudolf Falb","","1838-04-13T00:00:00Z","Obdach","","mężczyzna","Schöneberg"
"Johann Gottfried Scheibel","","1783-09-16T00:00:00Z","Wrocław","","mężczyzna","Norymberga"
"Peter Pilz","","1954-01-22T00:00:00Z","Kapfenberg","","mężczyzna",""
"Peter Keglevic","","1950-01-01T00:00:00Z","Salzburg","","mężczyzna",""
"Friedrich Kaiser","","1814-04-03T00:00:00Z","Biberach an der Riß","","mężczyzna","Wiedeń"
"Soma Morgenstern","","1890-05-03T00:00:00Z","Galicja","","mężczyzna","Nowy Jork"
"Ferdinand Avenarius","","1856-12-20T00:00:00Z","Berlin","","mężczyzna","Kampen"
"Bryan Konietzko","","1975-06-01T00:00:00Z","Stany Zjednoczone","","mężczyzna",""
"Torkel S. Wächter","","1961-03-25T00:00:00Z","Sztokholm","","mężczyzna",""
"Emil Körner","","1846-01-01T00:00:00Z","Wallendorf","","mężczyzna","Berlin"
"Walther Eidlitz","","1892-08-28T00:00:00Z","Wiedeń","","mężczyzna","Vaxholm"
"Frank Ostrowski","","2000-01-01T00:00:00Z","","","mężczyzna",""
"Emma Guntz","","1937-08-30T00:00:00Z","Bruchsal","","kobieta",""
"Lutz Hachmeister","","1959-09-10T00:00:00Z","Minden","","mężczyzna",""
"Josef Lauff","","1855-11-16T00:00:00Z","Kolonia","","mężczyzna","Cochem"
"Rudolf Lindau","","1829-10-10T00:00:00Z","Gardelegen","","mężczyzna","Paryż"
"Jenny Erpenbeck","","1967-03-12T00:00:00Z","Berlin Wschodni","","kobieta",""
"Friedrich Wilhelm Riemer","","1774-04-19T00:00:00Z","Kłodzko","","mężczyzna","Weimar"
"René Fülöp-Miller","","1891-02-17T00:00:00Z","Caransebeş","","mężczyzna","Hanover"
"René Fülöp-Miller","","1891-03-17T00:00:00Z","Caransebeş","","mężczyzna","Hanover"
"Ernst von Wolzogen","","1855-04-23T00:00:00Z","Wrocław","","mężczyzna","Monachium"
"Peter Assmann","","1963-08-28T00:00:00Z","Zams","","mężczyzna",""
"Joseph Edmund Jörg","","1819-12-23T00:00:00Z","Immenstadt im Allgäu","","mężczyzna","Landshut"
"Wilhelm Creizenach","","1851-06-04T00:00:00Z","Frankfurt nad Menem","","mężczyzna","Drezno"
"Şerafettin Yıldız","","1953-01-01T00:00:00Z","Sürmene","","mężczyzna",""
"Maria Treben","","1907-09-27T00:00:00Z","Žatec","","kobieta","Grieskirchen"
"Walter Kappacher","","1938-10-24T00:00:00Z","Salzburg","","mężczyzna",""
"Hermann Simon","","1947-02-10T00:00:00Z","Hasborn","","mężczyzna",""
"Raoul Auernheimer","","1876-04-15T00:00:00Z","Wiedeń","","mężczyzna","Oakland"
"Friedrich Wilhelm Riese","","1803-01-01T00:00:00Z","Berlin","","mężczyzna","Neapol"
"Friedrich Wilhelm Riese","","1805-01-01T00:00:00Z","Berlin","","mężczyzna","Neapol"
"Alfred Maria Willner","","1859-07-11T00:00:00Z","Wiedeń","","mężczyzna","Wiedeń"
"Werner Finck","","1902-05-02T00:00:00Z","Görlitz","","mężczyzna","Monachium"
"Anna Mitgutsch","","1948-10-02T00:00:00Z","Linz","","kobieta",""
"Franz Blei","","1871-01-18T00:00:00Z","Wiedeń","","mężczyzna","Westbury, New York"
"H. G. Adler","","1910-07-02T00:00:00Z","Praga","","mężczyzna","Londyn"
"Alfons von Czibulka","","1888-06-28T00:00:00Z","Ratboř","","mężczyzna","Monachium"
"Leo Birinski","","1884-06-08T00:00:00Z","Łysianka","","mężczyzna","Bronx"
"Richard Buchta","","1845-01-19T00:00:00Z","Radłów","","mężczyzna","Wiedeń"
"Gertrud Fussenegger","","1912-05-08T00:00:00Z","Pilzno","","kobieta","Linz"
"Heinrich Roller","","1839-03-10T00:00:00Z","Berlin","","mężczyzna","Berlin"
"Paul Leppin","","1878-11-27T00:00:00Z","Praga","","mężczyzna","Praga"
"H. G. Francis","","1936-01-14T00:00:00Z","Itzehoe","","mężczyzna","Hamburg"
"Franz Wickhoff","","1853-05-07T00:00:00Z","Steyr","","mężczyzna","Wenecja"
"André Simone","","1895-01-01T00:00:00Z","Powiat Tabor","","mężczyzna","Praga"
"Max Schönherr","","1903-11-23T00:00:00Z","Maribor","","mężczyzna","Baden bei Wien"
"Nicolas Born","","1937-12-31T00:00:00Z","Duisburg","","mężczyzna","Breese"
"Curt Meyer-Clason","","1910-09-19T00:00:00Z","Ludwigsburg","","mężczyzna","Monachium"
"Franz Jetzinger","","1882-01-01T00:00:00Z","Braunau am Inn","","mężczyzna","Ottensheim"
"Günther Schwab","","1904-10-07T00:00:00Z","Praga","","mężczyzna","Salzburg"
"André Brie","","1950-03-13T00:00:00Z","Schwerin","","mężczyzna",""
"Alfred Halm","","1863-12-09T00:00:00Z","Wiedeń","","mężczyzna","Berlin"
"Nikolai Grube","","1962-01-01T00:00:00Z","Bonn","","mężczyzna",""
"Johann Matthias Schröckh","","1733-07-26T00:00:00Z","Wiedeń","","mężczyzna","Wittenberga"
"Joachim Masannek","","1960-09-01T00:00:00Z","Hamm","","mężczyzna",""
"Richard Specht","","1870-01-01T00:00:00Z","Wiedeń","","mężczyzna","Wiedeń"
"Hugo Bettauer","","1872-08-18T00:00:00Z","Baden bei Wien","","mężczyzna","Wiedeń"
"Harald Braem","","1944-07-23T00:00:00Z","Berlin","","mężczyzna",""
"Julius Rodenberg","","1831-06-26T00:00:00Z","Rodenberg","","mężczyzna","Berlin"
"Christian Lindner","","1979-01-07T00:00:00Z","Wuppertal","","mężczyzna",""
"Joseph Anton Stranitzky","","1676-01-01T00:00:00Z","Knittelfeld","","mężczyzna","Wiedeń"
"Milo Dor","","1923-03-07T00:00:00Z","Budapeszt","","mężczyzna","Wiedeń"
"Milo Dor","","1923-03-17T00:00:00Z","Budapeszt","","mężczyzna","Wiedeń"
"Friedrich Salomon Krauss","","1859-10-07T00:00:00Z","Požega","","mężczyzna","Wiedeń"
"Max Barthel","Konrad Uhle","1893-11-17T00:00:00Z","Loschwitz","","mężczyzna","Waldbröl"
"Eudoxiu Hurmuzachi","","1812-09-29T00:00:00Z","Chornivka","","mężczyzna","Czerniowce"
"Andreas P. Pittler","","1964-11-21T00:00:00Z","Wiedeń","","mężczyzna",""
"Heinrich Steinfest","","1961-04-10T00:00:00Z","Australia","","mężczyzna",""
"Heinrich Steinfest","","1961-04-10T00:00:00Z","Nowa Południowa Walia","","mężczyzna",""
"Heinrich Steinfest","","1961-04-10T00:00:00Z","Albury","","mężczyzna",""
"Johann Freinsheim","","1608-01-01T00:00:00Z","Ulm","","mężczyzna","Heidelberg"
"Johann Freinsheim","","1608-11-16T00:00:00Z","Ulm","","mężczyzna","Heidelberg"
"Michael Krüger","","1943-12-09T00:00:00Z","Wittgendorf","","mężczyzna",""
"Felix Weltsch","","1884-01-01T00:00:00Z","Praga","","mężczyzna","Jerozolima"
"Nachman Krochmal","","1785-02-17T00:00:00Z","Brody","","mężczyzna","Tarnopol"
"Friedrich Adler","","1857-02-13T00:00:00Z","Kosova Hora","","mężczyzna","Praga"
"Edith Hahn Beer","","1914-01-24T00:00:00Z","Wiedeń","","kobieta","Londyn"
"Avraham Ben-Yitzhak","","1883-09-13T00:00:00Z","Przemyśl","","mężczyzna","Izrael"
"Theodor Busse","","1897-12-15T00:00:00Z","Frankfurt nad Odrą","","mężczyzna","Wallerstein"
"Georg Kaiser","","1878-11-25T00:00:00Z","Magdeburg","","mężczyzna","Ascona"
"Wolfgang Iser","","1926-07-22T00:00:00Z","Marienberg","","mężczyzna","Konstancja"
"Gustaw Nachtigal","","1834-02-23T00:00:00Z","Eichstedt","","mężczyzna","Cape Palmas"
"Wilhelm Heinrich Wackenroder","","1773-07-13T00:00:00Z","Berlin","","mężczyzna","Berlin"
"Thomas Abbt","","1738-11-25T00:00:00Z","Ulm","","mężczyzna","Bückeburg"
"Christian Fürchtegott Gellert","","1715-07-04T00:00:00Z","Hainichen","","mężczyzna","Lipsk"
"Artur Jusupow","","1960-02-13T00:00:00Z","Moskwa","","mężczyzna",""
"Picander","Picander","1700-01-14T00:00:00Z","Stolpen","","mężczyzna","Lipsk"
"Konrad Celtis","","1459-02-10T00:00:00Z","Wipfeld","","mężczyzna","Wiedeń"
"Alexander Kluge","","1932-02-14T00:00:00Z","Halberstadt","","mężczyzna",""
"Friedrich Rückert","","1788-05-16T00:00:00Z","Schweinfurt","","mężczyzna","Neuses"
"Wilhelm Raabe","Jakob Corvinus","1831-09-08T00:00:00Z","Eschershausen","","mężczyzna","Brunszwik"
"Novalis","","1772-05-02T00:00:00Z","Wiederstedt","","mężczyzna","Weißenfels"
"Hermann Keyserling","","1880-07-20T00:00:00Z","Liwonia","","mężczyzna","Innsbruck"
"Karol Aleksander","","1818-06-24T00:00:00Z","Weimar","","mężczyzna","Weimar"
"Heinz G. Konsalik","","1921-05-28T00:00:00Z","Kolonia","","mężczyzna","Salzburg"
"Dieter Baumann","","1965-02-09T00:00:00Z","Blaustein","","mężczyzna",""
"Ricarda Huch","","1864-07-18T00:00:00Z","Brunszwik","","kobieta","Kronberg im Taunus"
"Jordan z Saksonii","","1190-01-01T00:00:00Z","Paderborn","","mężczyzna","Akka"
"Elisabeth Noelle-Neumann","","1916-12-19T00:00:00Z","Berlin","","kobieta","Allensbach"
"Ansel Adams","","1902-02-20T00:00:00Z","San Francisco","","mężczyzna","Carmel-by-the-Sea"
"Brian Greene","","1963-02-09T00:00:00Z","Nowy Jork","","mężczyzna",""
"C.W. Ceram","","1915-01-20T00:00:00Z","Berlin","","mężczyzna","Hamburg"
"Rolf Hochhuth","","1931-04-01T00:00:00Z","Eschwege","","mężczyzna",""
"Alfred Andersch","","1914-02-04T00:00:00Z","Monachium","","mężczyzna","Berzona"
"Johann Valentin Andreae","","1586-08-17T00:00:00Z","Herrenberg","","mężczyzna","Stuttgart"
"Armen Ayvazyan","","1964-05-14T00:00:00Z","Erywań","","mężczyzna",""
"Günter Eich","","1907-02-01T00:00:00Z","Lubusz","Ilse Aichinger","mężczyzna","Salzburg"
"Rose Ausländer","","1901-05-11T00:00:00Z","Czerniowce","","kobieta","Düsseldorf"
"Günther Anders","","1902-07-12T00:00:00Z","Wrocław","","mężczyzna","Wiedeń"
"Jurij Niestierienko","","1972-10-09T00:00:00Z","Moskwa","","mężczyzna",""
"Włodzimierz II Monomach","","1053-01-01T00:00:00Z","","","mężczyzna","Kijów"
"Martin Opitz","","1597-12-23T00:00:00Z","Bolesławiec","","mężczyzna","Gdańsk"
"Lilli Palmer","","1914-05-24T00:00:00Z","Poznań","","kobieta","Los Angeles"
"Botho Strauß","","1944-12-02T00:00:00Z","Naumburg","","mężczyzna",""
"Judith Hermann","","1970-05-15T00:00:00Z","Berlin","","kobieta",""
"Hajo Herrmann","","1913-08-01T00:00:00Z","Kilonia","","mężczyzna","Düsseldorf"
"Heinrich Kramer","","1430-01-01T00:00:00Z","Sélestat","","mężczyzna","Brno"
"Ludwig Uhland","","1787-04-26T00:00:00Z","Tybinga","","mężczyzna","Tybinga"
"Ira Gershwin","","1896-12-06T00:00:00Z","Nowy Jork","","mężczyzna","Beverly Hills"
"Johannes Reuchlin","","1455-02-07T00:00:00Z","Pforzheim","","mężczyzna","Stuttgart"
"Sebastian Münster","","1488-01-29T00:00:00Z","Ingelheim am Rhein","","mężczyzna","Bazylea"
"Walter Benjamin","","1892-07-15T00:00:00Z","Berlin","Charles Baudelaire","mężczyzna","Portbou"
"Walter Benjamin","","1892-07-15T00:00:00Z","Berlin","Johann Wolfgang von Goethe","mężczyzna","Portbou"
"Walter Benjamin","","1892-07-15T00:00:00Z","Berlin","Karl Marx","mężczyzna","Portbou"
"Walter Benjamin","","1892-07-15T00:00:00Z","Berlin","Bertolt Brecht","mężczyzna","Portbou"
"Walter Benjamin","","1892-07-15T00:00:00Z","Berlin","György Lukács","mężczyzna","Portbou"
"Christian Dietrich Grabbe","","1801-12-11T00:00:00Z","Detmold","","mężczyzna","Detmold"
"Fritz Gerlich","","1883-02-15T00:00:00Z","Szczecin","","mężczyzna","Dachau"
"Abraham a Sancta Clara","","1644-07-02T00:00:00Z","Kreenheinstetten","","mężczyzna","Wiedeń"
"Josef Pieper","","1904-05-04T00:00:00Z","Elte, North Rhine-Westphalia","","mężczyzna","Münster"
"Bertha Pappenheim","","1859-02-27T00:00:00Z","Wiedeń","","kobieta","Neu-Isenburg"
"Peter Hacks","","1928-03-21T00:00:00Z","Wrocław","","mężczyzna","Groß Machnow"
"Georg Kerschensteiner","","1854-07-29T00:00:00Z","Monachium","","mężczyzna","Monachium"
"Pat Barker","","1943-05-08T00:00:00Z","Thornaby-on-Tees","","kobieta",""
"Reiner Kunze","","1933-08-16T00:00:00Z","Oelsnitz/Erzgeb.","","mężczyzna",""
"Antoni Ulryk, książę Brunszwiku-Wolfenbüttel","","1633-10-04T00:00:00Z","Hitzacker","","mężczyzna","Salzdahlum"
"Otto Braun","","1900-09-28T00:00:00Z","Ismaning","","mężczyzna","Warna"
