"numer_adres";"stan_zdrowia";"y_wgs84";"dzielnica";"adres";"lokalizacja";"wiek_w_dni";"srednica_k";"pnie_obwod";"miasto";"jednostka";"x_pl2000";"wysokosc";"y_pl2000";"numer_inw";"﻿x_wgs84";"_id";"gatunek_1";"gatunek";"data_wyk_pom"
"";"zły";"52.246262";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"150";"Warszawa";"Zarząd Terenów Publicznych";"7500048.34503497";"XXXX";"5790299.14";"D203993";"21.000708";1;"Aesculus hippocastanum";"kasztanowiec pospolity";"20110912"
"";"średni";"52.246412";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"3,5";"47, 52, 56";"Warszawa";"Zarząd Terenów Publicznych";"7500033.63496504";"5";"5790315.88993007";"D203994";"21.000492";2;"Thuja occidentalis";"żywotnik zachodni";"20110912"
"";"dobry";"52.246549";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"160";"Warszawa";"Zarząd Terenów Publicznych";"7500039.83496504";"14";"5790331.06";"D203995";"21.000583";3;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"zły";"52.246332";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"2";"124";"Warszawa";"Zarząd Terenów Publicznych";"7500017.81496503";"5";"5790306.95006993";"D203996";"21.000261";4;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"średni";"52.246387";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"106";"Warszawa";"Zarząd Terenów Publicznych";"7500015.96783217";"10";"5790313.01664336";"D203997";"21.000234";5;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"średni";"52.246451";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"106";"Warszawa";"Zarząd Terenów Publicznych";"7500013.88503497";"12";"5790320.18";"D203998";"21.000203";6;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"zły";"52.246462";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"227";"Warszawa";"Zarząd Terenów Publicznych";"7500019.19496503";"15";"5790321.41006993";"D203999";"21.000281";7;"Acer negundo";"klon jesionolistny";"20110912"
"";"średni";"52.246518";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"104";"Warszawa";"Zarząd Terenów Publicznych";"7500012.02503497";"13";"5790327.61006993";"D204000";"21.000176";8;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.246575";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"122";"Warszawa";"Zarząd Terenów Publicznych";"7500010.52503497";"13";"5790334.03006993";"D204001";"21.000154";9;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.246631";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"114";"Warszawa";"Zarząd Terenów Publicznych";"7500008.80503497";"13";"5790340.23006993";"D204002";"21.000129";10;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.246691";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"147";"Warszawa";"Zarząd Terenów Publicznych";"7500006.91496504";"13";"5790346.92";"D204003";"21.000101";11;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.246718";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"135";"Warszawa";"Zarząd Terenów Publicznych";"7500009.94503496";"12";"5790349.84993007";"D204004";"21.000146";12;"Robinia pseudoacacia";"robinia biała";"20110912"
"";"dobry";"52.246743";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"14";"230";"Warszawa";"Zarząd Terenów Publicznych";"7500023.50503497";"16";"5790352.62993007";"D204005";"21.000344";13;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"zły";"52.246843";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"155";"Warszawa";"Zarząd Terenów Publicznych";"7500018.84503497";"15";"5790363.78";"D204006";"21.000276";14;"Ulmus minor";"wiąz polny";"20110912"
"";"średni";"52.246887";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"175";"Warszawa";"Zarząd Terenów Publicznych";"7500033.61496503";"12";"5790368.66";"D204007";"21.000492";15;"Acer pseudoplatanus";"klon jawor";"20110912"
"";"zły";"52.246869";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"68";"Warszawa";"Zarząd Terenów Publicznych";"7500041.66503496";"7";"5790366.68";"D204008";"21.00061";16;"Ulmus minor";"wiąz polny";"20110912"
"";"średni";"52.246858";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"70";"Warszawa";"Zarząd Terenów Publicznych";"7500045.51496504";"10";"5790365.48";"D204009";"21.000666";17;"Quercus rubra";"dąb czerwony";"20110912"
"";"dobry";"52.246668";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"156";"Warszawa";"Zarząd Terenów Publicznych";"7500042.91510489";"10";"5790344.34";"D204010";"21.000628";18;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246894";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"108";"Warszawa";"Zarząd Terenów Publicznych";"7500052.59496504";"17";"5790369.50993007";"D204011";"21.00077";19;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.246873";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"15";"174";"Warszawa";"Zarząd Terenów Publicznych";"7500060.28503496";"15";"5790367.19006993";"D204012";"21.000883";20;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246831";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"143";"Warszawa";"Zarząd Terenów Publicznych";"7500052.88503497";"15";"5790362.50993007";"D204013";"21.000774";21;"Acer platanoides";"klon pospolity";"20110912"
"";"zły";"52.24679";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"163";"Warszawa";"Zarząd Terenów Publicznych";"7500064.78503496";"12";"5790357.90993007";"D204014";"21.000949";22;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246747";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"148";"Warszawa";"Zarząd Terenów Publicznych";"7500063.07496503";"16";"5790353.14";"D204015";"21.000924";23;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.24672";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"145";"Warszawa";"Zarząd Terenów Publicznych";"7500053.89496503";"15";"5790350.12";"D204016";"21.000789";24;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.246628";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"15";"175";"Warszawa";"Zarząd Terenów Publicznych";"7500071.51496504";"16";"5790339.88993007";"D204017";"21.001047";25;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.246487";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"101";"Warszawa";"Zarząd Terenów Publicznych";"7500073.35496503";"10";"5790324.16";"D204018";"21.001074";26;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.246477";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"164";"Warszawa";"Zarząd Terenów Publicznych";"7500076.94503496";"12";"5790323.04993007";"D204019";"21.001127";27;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.246399";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"153";"Warszawa";"Zarząd Terenów Publicznych";"7500083.39496503";"15";"5790314.42";"D204020";"21.001221";28;"Aesculus hippocastanum";"kasztanowiec pospolity";"20110912"
"";"zły";"52.246883";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"144";"Warszawa";"Zarząd Terenów Publicznych";"7500005.76503497";"12";"5790368.22";"D204021";"21.000084";29;"Ulmus minor";"wiąz polny";"20110912"
"";"średni";"52.246848";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"153";"Warszawa";"Zarząd Terenów Publicznych";"7500002.17496504";"12";"5790364.4";"D204022";"21.000032";30;"Acer negundo";"klon jesionolistny";"20110912"
"";"średni";"52.2469";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"94";"Warszawa";"Zarząd Terenów Publicznych";"7500000.43496503";"12";"5790370.11006993";"D204023";"21.000006";31;"Acer negundo";"klon jesionolistny";"20110912"
"";"średni";"52.246955";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"115";"Warszawa";"Zarząd Terenów Publicznych";"7499999.00503497";"10";"5790376.24";"D204024";"20.999985";32;"Acer negundo";"klon jesionolistny";"20110912"
"";"średni";"52.247004";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"128";"Warszawa";"Zarząd Terenów Publicznych";"7499997.06503497";"11";"5790381.7";"D204025";"20.999957";33;"Acer negundo";"klon jesionolistny";"20110912"
"";"średni";"52.247103";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"1";"20";"Warszawa";"Zarząd Terenów Publicznych";"7499999.32";"5";"5790392.7";"D204026";"20.99999";34;"Fagus sylvatica";"buk pospolity";"20110912"
"";"średni";"52.247195";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"159";"Warszawa";"Zarząd Terenów Publicznych";"7499991.76993007";"10";"5790402.94993007";"D204027";"20.999879";35;"Acer negundo";"klon jesionolistny";"20110912"
"";"zły";"52.247222";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"3";"120";"Warszawa";"Zarząd Terenów Publicznych";"7500008.25496504";"4";"5790405.99006993";"D204028";"21.000121";36;"Syringa vulgaris";"lilak pospolity";"20110912"
"";"średni";"52.247269";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"260";"Warszawa";"Zarząd Terenów Publicznych";"7499991.82503496";"12";"5790411.20993007";"D204029";"20.99988";37;"Robinia pseudoacacia";"robinia biała";"20110912"
"";"zły";"52.247279";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"152";"Warszawa";"Zarząd Terenów Publicznych";"7499996.94503496";"8";"5790412.32";"D204030";"20.999955";38;"Acer negundo";"klon jesionolistny";"20110912"
"";"dobry";"52.247332";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"189";"Warszawa";"Zarząd Terenów Publicznych";"7499994.23496503";"16";"5790418.16";"D204031";"20.999916";39;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"średni";"52.247425";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"117";"Warszawa";"Zarząd Terenów Publicznych";"7499984.32503496";"10";"5790428.58993007";"D204032";"20.99977";40;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"średni";"52.247514";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"119";"Warszawa";"Zarząd Terenów Publicznych";"7499982.92503497";"15";"5790438.42993007";"D204033";"20.99975";41;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.247543";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"9";"132";"Warszawa";"Zarząd Terenów Publicznych";"7499988.34503497";"15";"5790441.64993007";"D204034";"20.999829";42;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"średni";"52.247498";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"124";"Warszawa";"Zarząd Terenów Publicznych";"7499987.76503497";"15";"5790436.68";"D204035";"20.999821";43;"Acer platanoides";"klon pospolity";"20110912"
"";"zły";"52.252241";"Praga Północ";"ul. KIJOWSKA";"Ulica KIJOWSKA";"10";"1";"13";"Warszawa";"Dzielnica Praga Północ";"7503252.29034965";"3";"5790965.4441958";"D208285";"21.047627";4048;"Tilia  sp.";"lipa  sp.";"20110801"
"";"dobry";"52.247457";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"171";"Warszawa";"Zarząd Terenów Publicznych";"7499990.27496503";"18";"5790432.16";"D204036";"20.999858";44;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.247497";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"153";"Warszawa";"Zarząd Terenów Publicznych";"7499996.25496504";"16";"5790436.6";"D204037";"20.999945";45;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.247532";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"148";"Warszawa";"Zarząd Terenów Publicznych";"7500001.75496504";"16";"5790440.46993007";"D204038";"21.000026";46;"Acer pseudoplatanus 'Atropurpureum'";"klon jawor ""Atropurpureum""";"20110912"
"";"średni";"52.247557";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"136";"Warszawa";"Zarząd Terenów Publicznych";"7499998.02503497";"14";"5790443.24";"D204039";"20.999971";47;"Acer pseudoplatanus";"klon jawor";"20110912"
"";"dobry";"52.247573";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"118";"Warszawa";"Zarząd Terenów Publicznych";"7499993.85496503";"14";"5790445.00993007";"D204040";"20.99991";48;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.247613";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"128";"Warszawa";"Zarząd Terenów Publicznych";"7500001.32503496";"16";"5790449.46";"D204041";"21.000019";49;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"średni";"52.247576";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"195";"Warszawa";"Zarząd Terenów Publicznych";"7500003.62503496";"16";"5790445.32993007";"D204042";"21.000053";50;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"dobry";"52.247649";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"100";"Warszawa";"Zarząd Terenów Publicznych";"7500007.04503497";"10";"5790453.5";"D204043";"21.000103";51;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.247628";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"116";"Warszawa";"Zarząd Terenów Publicznych";"7500013.35496503";"12";"5790451.12993007";"D204044";"21.000196";52;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"dobry";"52.24771";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"110";"Warszawa";"Zarząd Terenów Publicznych";"7500018.78503496";"10";"5790460.24993007";"D204045";"21.000275";53;"Tilia platyphyllos";"lipa szerokolistna";"20110912"
"";"zły";"52.24768";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"95";"Warszawa";"Zarząd Terenów Publicznych";"7500024.43496503";"12";"5790456.96";"D204046";"21.000358";54;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"zły";"52.24763";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"191";"Warszawa";"Zarząd Terenów Publicznych";"7500027.68503497";"15";"5790451.34993007";"D204047";"21.000405";55;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"zły";"52.247621";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"102";"Warszawa";"Zarząd Terenów Publicznych";"7500023.37496504";"12";"5790450.38";"D204048";"21.000342";56;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"dobry";"52.247568";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"231";"Warszawa";"Zarząd Terenów Publicznych";"7500017.78503496";"16";"5790444.46993007";"D204049";"21.00026";57;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"dobry";"52.247373";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"14";"394";"Warszawa";"Zarząd Terenów Publicznych";"7500018.68503497";"16";"5790422.76";"D204050";"21.000274";58;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"średni";"52.247347";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"149";"Warszawa";"Zarząd Terenów Publicznych";"7500012.42503497";"15";"5790419.84";"D204051";"21.000182";59;"Ulmus minor";"wiąz polny";"20110912"
"";"zły";"52.24726";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"156";"Warszawa";"Zarząd Terenów Publicznych";"7500018.25496504";"2,5";"5790410.22";"D204052";"21.000267";60;"Syringa vulgaris";"lilak pospolity";"20110912"
"";"dobry";"52.247435";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"1";"18";"Warszawa";"Zarząd Terenów Publicznych";"7500027.13216783";"4";"5790429.62811189";"D204053";"21.000397";61;"Prunus padus";"czeremcha pospolita";"20110912"
"";"średni";"52.247353";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"228";"Warszawa";"Zarząd Terenów Publicznych";"7500031.54503497";"16";"5790420.50993007";"D204054";"21.000462";62;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"dobry";"52.247311";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"95";"Warszawa";"Zarząd Terenów Publicznych";"7500034.16503496";"15";"5790415.86";"D204055";"21.0005";63;"Fraxinus pennsylvanica";"jesion pensylwański";"20110912"
"";"średni";"52.247267";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"14";"301";"Warszawa";"Zarząd Terenów Publicznych";"7500036.73496503";"16";"5790411.00993007";"D204056";"21.000538";64;"Acer saccharinum";"klon srebrzysty";"20110912"
"";"dobry";"52.247217";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"184";"Warszawa";"Zarząd Terenów Publicznych";"7500039.69496503";"16";"5790405.44";"D204057";"21.000581";65;"Aesculus hippocastanum";"kasztanowiec pospolity";"20110912"
"";"zły";"52.247153";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"85";"Warszawa";"Zarząd Terenów Publicznych";"7500044.16503496";"7";"5790398.34993007";"D204058";"21.000647";66;"Ulmus minor";"wiąz polny";"20110912"
"";"dobry";"52.2478";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"133";"Warszawa";"Zarząd Terenów Publicznych";"7500012.16993007";"10";"5790470.2351049";"D204059";"21.000178";67;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247766";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"155";"Warszawa";"Zarząd Terenów Publicznych";"7500006.11496503";"12";"5790466.49006993";"D204060";"21.00009";68;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247696";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"122";"Warszawa";"Zarząd Terenów Publicznych";"7499993.66503496";"12";"5790458.76";"D204061";"20.999907";69;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247661";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"105";"Warszawa";"Zarząd Terenów Publicznych";"7499987.50503497";"12";"5790454.80993007";"D204062";"20.999817";70;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247628";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"140";"Warszawa";"Zarząd Terenów Publicznych";"7499981.18503497";"12";"5790451.19006993";"D204063";"20.999724";71;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"zły";"52.252214";"Praga Północ";"ul. KIJOWSKA";"Ulica KIJOWSKA";"10";"1";"13";"Warszawa";"Dzielnica Praga Północ";"7503247.29034965";"2,5";"5790962.4441958";"D208286";"21.047554";4049;"Tilia  sp.";"lipa  sp.";"20110801"
"";"średni";"52.247707";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"100";"Warszawa";"Zarząd Terenów Publicznych";"7499980.00503497";"10";"5790459.92993007";"D204064";"20.999707";72;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247712";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"130";"Warszawa";"Zarząd Terenów Publicznych";"7499986.75496504";"15";"5790460.48";"D204065";"20.999806";73;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.247743";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"116";"Warszawa";"Zarząd Terenów Publicznych";"7499992.03496503";"17";"5790463.98";"D204066";"20.999883";74;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.247785";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"160";"Warszawa";"Zarząd Terenów Publicznych";"7499990.19622378";"15";"5790468.5813986";"D204067";"20.999856";75;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.247804";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"3";"94";"Warszawa";"Zarząd Terenów Publicznych";"7499994.80503497";"11";"5790470.74";"D204068";"20.999924";76;"Fraxinus excelsior";"jesion wyniosły";"20110912"
"";"średni";"52.24783";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"108";"Warszawa";"Zarząd Terenów Publicznych";"7500001.38503497";"16";"5790473.64";"D204069";"21.00002";77;"Fraxinus excelsior";"jesion wyniosły";"20110912"
"";"zły";"52.247839";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"5";"135";"Warszawa";"Zarząd Terenów Publicznych";"7500006.92503497";"14";"5790474.56993007";"D204070";"21.000101";78;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247859";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"15";"207";"Warszawa";"Zarząd Terenów Publicznych";"7500011.99496503";"20";"5790476.84";"D204071";"21.000176";79;"Populus alba";"topola biała";"20110912"
"";"dobry";"52.247766";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"9";"138";"Warszawa";"Zarząd Terenów Publicznych";"7499984.16377622";"15";"5790466.46475524";"D204072";"20.999768";80;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.24778";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"6";"79";"Warszawa";"Zarząd Terenów Publicznych";"7499978.97496504";"10";"5790468.03006993";"D204073";"20.999692";81;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"średni";"52.247815";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"124";"Warszawa";"Zarząd Terenów Publicznych";"7499983.24503496";"15";"5790471.99006993";"D204074";"20.999755";82;"Acer platanoides";"klon pospolity";"20110912"
"";"średni";"52.247841";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"";"Warszawa";"Zarząd Terenów Publicznych";"7499978.05496504";"12";"5790474.82";"D204075";"20.999679";83;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247865";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"12";"184";"Warszawa";"Zarząd Terenów Publicznych";"7499983.02503497";"15";"5790477.46";"D204076";"20.999751";84;"Acer platanoides";"klon pospolity";"20110912"
"";"dobry";"52.247868";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"136";"Warszawa";"Zarząd Terenów Publicznych";"7499991.75496504";"16";"5790477.80993007";"D204077";"20.999879";85;"Fraxinus excelsior";"jesion wyniosły";"20110912"
"";"zły";"52.258936";"Praga Północ";"ul. JAGIELLOŃSKA";"Ulica JAGIELLOŃSKA";"20";"4";"61";"Warszawa";"Dzielnica Praga Północ";"7501776.49244755";"8";"5791709.68433566";"D205049";"21.026019";889;"Acer platanoides";"klon pospolity";"20110801"
"";"dobry";"52.247916";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"14";"220";"Warszawa";"Zarząd Terenów Publicznych";"7499993.04503497";"14";"5790483.23006993";"D204078";"20.999898";86;"Acer campestre";"klon polny";"20110912"
"";"dobry";"52.247902";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"100";"Warszawa";"Zarząd Terenów Publicznych";"7500004.66503496";"15";"5790481.62993007";"D204079";"21.000068";87;"Fraxinus pennsylvanica";"jesion pensylwański";"20110912"
"";"dobry";"52.247981";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"122";"Warszawa";"Zarząd Terenów Publicznych";"7500003.39496503";"15";"5790490.42";"D204080";"21.00005";88;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.248048";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"110";"Warszawa";"Zarząd Terenów Publicznych";"7499998.61496503";"12";"5790497.86";"D204081";"20.99998";89;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247991";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"126";"Warszawa";"Zarząd Terenów Publicznych";"7499991.96503497";"14";"5790491.56";"D204082";"20.999882";90;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.24794";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"8";"104";"Warszawa";"Zarząd Terenów Publicznych";"7499984.52503497";"14";"5790485.91006993";"D204083";"20.999773";91;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247905";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"7";"111";"Warszawa";"Zarząd Terenów Publicznych";"7499976.94503496";"16";"5790481.96";"D204084";"20.999662";92;"Tilia cordata";"lipa drobnolistna";"20110912"
"";"dobry";"52.247967";"Śródmieście";"ul. ANDRIOLLEGO ME";"Park Ogród Krasińskich";"0";"10";"76, 78";"Warszawa";"Zarząd Terenów Publicznych";"7499976.02503497";"15";"5790488.82";"D204085";"20.999649";93;"Tilia cordata";"lipa drobnolistna";"20110912"
