"numer_adres";"stan_zdrowia";"y_wgs84";"dzielnica";"adres";"lokalizacja";"wiek_w_dni";"srednica_k";"pnie_obwod";"miasto";"jednostka";"x_pl2000";"wysokosc";"y_pl2000";"numer_inw";"﻿x_wgs84";"_id";"gatunek_1";"gatunek";"data_wyk_pom"
"";"dobry";"52.260232";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"50";"10";"179";"Warszawa";"Dzielnica Praga Północ";"7504118.21776224";"16";"5791855.17608392";"D209648";"21.060319";5375;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.26041";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"55";"12";"262";"Warszawa";"Dzielnica Praga Północ";"7504109";"18";"5791875.00181818";"D209649";"21.060184";5376;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.260536";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"50";"10";"182";"Warszawa";"Dzielnica Praga Północ";"7504102";"18";"5791889.00181818";"D209650";"21.060082";5377;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.260644";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"55";"10";"262";"Warszawa";"Dzielnica Praga Północ";"7504096";"18";"5791901.00181818";"D209651";"21.059994";5378;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.260679";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"45";"7";"159";"Warszawa";"Dzielnica Praga Północ";"7504104";"18";"5791905.00181818";"D209652";"21.060112";5379;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.260473";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"55";"8";"249";"Warszawa";"Dzielnica Praga Północ";"7504115";"18";"5791882.00181818";"D209653";"21.060272";5380;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.260365";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"7";"127";"Warszawa";"Dzielnica Praga Północ";"7504120";"18";"5791870.00181818";"D209654";"21.060345";5381;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.260257";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"7";"152";"Warszawa";"Dzielnica Praga Północ";"7504126";"18";"5791858.00181818";"D209655";"21.060433";5382;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.260095";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"8";"134";"Warszawa";"Dzielnica Praga Północ";"7504136";"18";"5791840.00181818";"D209656";"21.060579";5383;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"średni";"52.260032";"Praga Północ";"ul. GRAJEWSKA";"Ulica GRAJEWSKA";"40";"8";"175";"Warszawa";"Dzielnica Praga Północ";"7504139";"18";"5791833.00181818";"D209657";"21.060623";5384;"Acer saccharinum";"klon srebrzysty";"20110801"
