"u_nazwa","u_stocznia","u_wrak","u_typ"
"U-462","Deutsche Werke","Point(-10.966666666 45.55)","Okręty podwodne typu XIV"
"U-2324",,,
"German submarine U-608","Blohm + Voss","Point(-3.13333 46.5)","Okręty podwodne typu VIIC"
"German submarine U-574","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-210","Friedrich Krupp Germaniawerft","Point(-34.61666667 54.4)","Okręty podwodne typu VIIC"
"German submarine U-380","Howaldtswerke-Deutsche Werft","Point(-5.91666667 43.11666667)","Okręty podwodne typu VIIC"
"German submarine U-381","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"German submarine U-304","Flender Werke","Point(-37.33333333 54.83333333)","Okręty podwodne typu VIIC"
"German submarine U-429",,,"Okręty podwodne typu VIIC"
"German submarine U-188","Deutsche Schiff- und Maschinenbau","Point(-0.566667 44.8333)",
"Q2394501",,,
"HMS Meteorite",,,
"U-512","Deutsche Werft","Point(-52.41666667 6.83333333)",
"German submarine U-501","Deutsche Werft","Point(-37.83333333 62.83333333)",
"German submarine U-510","Deutsche Werft",,"Okręty podwodne typu IX"
"German submarine U-D3",,,
"German submarine U-177","AG Weser","Point(-23.25 -10.58333333)",
"German submarine U-1003",,"Point(-6.88333333 55.41666667)",
"U-1005",,"Point(-8.45 55.55)",
"German submarine U-1008",,"Point(10.85 56.23333333)",
"German submarine U-1199",,"Point(-5.7 49.95)","German Type VIIC/41 submarine"
"German submarine U-252","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"German submarine U-420","Danziger Werft","Point(-21.0 48.0)","Okręty podwodne typu VIIC"
"German submarine U-703","H. C. Stülcken Sohn",,"Okręty podwodne typu VIIC"
"U-321",,,"German Type VIIC/41 submarine"
"German submarine U-475",,,"Okręty podwodne typu VIIC"
"German submarine U-164","Deutsche Schiff- und Maschinenbau","Point(-39.3667 -1.96667)",
"German submarine U-164","Deutsche Schiff- und Maschinenbau","Point(-39.36666667 -1.96666667)",
"German submarine U-656","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"German submarine U-651","Howaldtswerke-Deutsche Werft","Point(-18.6 59.86666667)","Okręty podwodne typu VIIC"
"German submarine U-1276",,"Point(-7.11666667 51.8)","German Type VIIC/41 submarine"
"German submarine U-2371",,,
"German submarine U-163","Deutsche Schiff- und Maschinenbau","Point(-15.0 45.08333333)",
"SM U-40","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu U-31"
"SM UB-2","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBI"
"German submarine U-162","Deutsche Schiff- und Maschinenbau","Point(-59.48333333 12.35)",
"German submarine U-736",,"Point(-4.26666667 47.31666667)","Okręty podwodne typu VIIC"
"German submarine U-575","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-741",,"Point(-0.6 50.0333)","Okręty podwodne typu VIIC"
"German submarine U-714","H. C. Stülcken Sohn","Point(-1.57 55.57)","Okręty podwodne typu VIIC"
"U-764",,"Point(-9.0 56.1)","typu VII"
"U-764",,"Point(-9.0 56.1)","Okręty podwodne typu VIIC"
"German submarine U-487","Friedrich Krupp Germaniawerft","Point(-34.3 27.25)","Okręty podwodne typu XIV"
"U-A","Friedrich Krupp Germaniawerft",,
"German submarine U-1000","Blohm + Voss",,"German Type VIIC/41 submarine"
"German submarine U-973",,"Point(5.8 70.66666667)","Okręty podwodne typu VIIC"
"German submarine U-650","Blohm + Voss",,
"German submarine U-282",,"Point(-31.95 55.46666667)","Okręty podwodne typu VIIC"
"SM U-23","Friedrich Krupp Germaniawerft","Point(0.23333333 58.91666667)",
"U-907",,"Point(-5.98333333 55.28333333)",
"German submarine U-880",,"Point(-30.4333 47.8833)","Okręty podwodne typu IXC/40"
"German submarine U-854",,"Point(14.2667 54.0167)","Okręty podwodne typu IXC/40"
"German submarine U-33","Howaldtswerke-Deutsche Werft",,
"Q878847",,,
"U-9",,"Point(8.44638889 49.3125)","Type 205 submarine"
"German submarine U-409","Danziger Werft","Point(4.0 37.2)","Okręty podwodne typu VIIC"
"German submarine U-204","Friedrich Krupp Germaniawerft","Point(-6.03333333 35.76666667)","Okręty podwodne typu VIIC"
"German submarine U-3044",,,
"German submarine U-518","Deutsche Werft","Point(-38.38333333 43.43333333)",
"U-581","Blohm + Voss",,"Okręty podwodne typu VIIC"
"German submarine U-1007",,,
"German submarine U-561","Blohm + Voss","Point(15.65 38.266667)","Okręty podwodne typu VIIC"
"Q1276580",,,"Type 205 submarine"
"Manta",,,
"SM U-76","Bremer Vulkan","Point(23.0 71.0)","okręty podwodne typu UE I"
"German submarine U-248",,,"Okręty podwodne typu VIIC"
"SM U-24","Friedrich Krupp Germaniawerft",,
"SM U-25",,,
"Schwertwal",,,
"German submarine U-740","Schichau-Werke",,
"German submarine U-584","Blohm + Voss","Point(-31.9167 49.2333)","Okręty podwodne typu VIIC"
"Q1423871",,,"Okręty podwodne typu 206"
"SM UB-88","AG Vulcan Stettin",,"Okręty podwodne typu UBIII"
"SM U-36","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu U-31"
"German submarine U-196","AG Weser",,"Okręty podwodne typu IXD-2"
"Q1495256",,,"Okręty podwodne typu 206"
"SM U-65","Friedrich Krupp Germaniawerft",,
"German submarine U-453","Deutsche Werke","Point(16.5 38.2167)","Okręty podwodne typu VIIC"
"German submarine U-925",,,
"Q1566337",,"Point(11.1925 54.41916667)","Type 205 submarine"
"German submarine U-2340",,,
"German submarine U-665","Deutsche Werft","Point(-10.4333 48.0667)","Okręty podwodne typu VIIC"
"SM UB-3","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBI"
"SM U-56","Friedrich Krupp Germaniawerft",,
"Q1686754",,,
"German submarine U-167 (1942)","Deutsche Schiff- und Maschinenbau","Point(111.28 -6.2)","Okręty podwodne typu IXC/40"
"SM U-71","Bremer Vulkan",,"okręty podwodne typu UE I"
"SM U-78","Bremer Vulkan","Point(5.13333333 56.03333333)","okręty podwodne typu UE I"
"French submarine Favorite","Rouen",,
"SM U-37",,"Point(-1.8 51.0667)","Okręty podwodne typu U-31"
"SM U-44","Kaiserliche Werft Gdańsk","Point(4.33333333 58.83333333)",
"SM U-57",,,
"German submarine U-527",,,
"SM U-77","Bremer Vulkan",,"okręty podwodne typu UE I"
"German submarine U-173","AG Weser","Point(-7.583333 33.666667)",
"German submarine U-376","Howaldtswerke-Deutsche Werft","Point(-9.0 46.8)","Okręty podwodne typu VIIC"
"German submarine U-332","Nordseewerke","Point(-8.96666667 44.8)","Okręty podwodne typu VIIC"
"U-514","Deutsche Werft",,"Okręty podwodne typu IXC"
"Q1965484","Q318326",,
"German submarine U-502","Deutsche Werft","Point(-6.66666667 46.16666667)",
"German submarine U-444","Schichau-Werke","Point(-29.3 51.23333333)","Okręty podwodne typu VIIC"
"German submarine U-279",,"Point(-26.5 60.6667)","Okręty podwodne typu VIIC"
"German submarine U-174","AG Weser","Point(-56.3 43.58333333)",
"German submarine U-520","Deutsche Werft","Point(-49.83333333 47.78333333)",
"German submarine U-523","Deutsche Werft","Point(-18.03333333 42.05)",
"German submarine U-524",,"Point(-18.21666667 30.25)",
"German submarine U-509","Deutsche Werft","Point(-26.01666667 34.03333333)",
"German submarine U-508",,"Point(-7.5 46.0)",
"German submarine U-503","Deutsche Werft","Point(-48.83333333 45.83333333)",
"German submarine U-176","AG Weser","Point(-80.3 23.35)",
"German submarine U-517","Deutsche Werft","Point(-17.15 46.26666667)",
"German submarine U-516",,"Point(-9.0 56.1)",
"German submarine U-617","Blohm + Voss","Point(-3.45 35.63333333)","Okręty podwodne typu VIIC"
"German submarine U-844","AG Weser","Point(-27.26666667 58.5)",
"German submarine U-192","AG Weser","Point(-45.7333 53.1)",
"German submarine U-191","AG Weser",,
"German submarine U-542",,,
"German submarine U-529","Deutsche Werft","Point(-31.15 55.75)",
"German submarine U-199","AG Weser","Point(-42.9 -23.9)","Okręty podwodne typu IXD-2"
"German submarine U-532",,"Point(-10.11666667 56.13333333)",
"German submarine U-531","Deutsche Werft","Point(-45.3 52.8)",
"German submarine U-169","Deutsche Schiff- und Maschinenbau",,"Okręty podwodne typu IXC/40"
"German submarine U-208",,,"Okręty podwodne typu VIIC"
"Q2472241",,,"Okręty podwodne typu 206"
"Q2472247",,,"Okręty podwodne typu 206"
"U-2514",,,
"Q2472268",,,"Okręty podwodne typu 206"
"German submarine U-300",,"Point(-8.33333333 36.48333333)","German Type VIIC/41 submarine"
"German submarine U-3504",,,
"U-439","Schichau-Werke",,"Okręty podwodne typu VIIC"
"German submarine U-565","Blohm + Voss","Point(23.66666667 37.95)","Okręty podwodne typu VIIC"
"German submarine U-572","Blohm + Voss","Point(-54.08333333 11.58333333)","Okręty podwodne typu VIIC"
"German submarine U-597","Blohm + Voss","Point(-28.083333 56.833333)","typu VII"
"German submarine U-597","Blohm + Voss","Point(-28.083333 56.833333)","Okręty podwodne typu VIIC"
"German submarine U-722",,"Point(-6.91667 57.15)","Okręty podwodne typu VIIC"
"German submarine U-743",,,
"German submarine U-963","Blohm + Voss","Point(-9.083333 39.6)",
"German submarine U-971",,"Point(-5.58333333 49.01666667)",
"German submarine U-984",,"Point(-5.55 48.2667)","Okręty podwodne typu VIIC"
"German submarine U-989",,"Point(-1.58333 61.6)","Okręty podwodne typu VIIC"
"Q2472508",,,
"German submarine U-D4",,,
"U-1059",,"Point(-33.44 13.1)","German Type VIIF submarine"
"German submarine U-229","Friedrich Krupp Germaniawerft","Point(-36.41666667 54.6)","Okręty podwodne typu VIIC"
"German submarine U-384","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"U-278","Bremer Vulkan","Point(-8.35 55.73333333)","Okręty podwodne typu VIIC"
"U-254","Bremer Vulkan","Point(-40.0 55.0)","Okręty podwodne typu VIIC"
"U-281",,"Point(-10.08333333 55.83333333)","Okręty podwodne typu VIIC"
"German submarine U-753","Kriegsmarinewerft Wilhelmshaven","Point(-22.65 48.6167)","Okręty podwodne typu VIIC"
"German submarine U-402","Danziger Werft",,"Okręty podwodne typu VIIC"
"RO 500","Deutsche Werft",,
"German submarine U-585","Blohm + Voss",,"Okręty podwodne typu VIIC"
"U-185","AG Weser","Point(-37.1 27.0)",
"U-862","AG Weser","Point(-14.35 -20.05)","Okręty podwodne typu IXD-1"
"U-179","AG Weser","Point(17.08333333 -33.46666667)",
"German submarine U-341","Nordseewerke","Point(-25.5 58.56666667)","Okręty podwodne typu VIIC"
"German submarine U-431","Schichau-Werke","Point(0.583333 37.3833)","Okręty podwodne typu VIIC"
"U-567","Blohm + Voss","Point(-20.16666667 44.03333333)","Okręty podwodne typu VIIC"
"German submarine U-382","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"German submarine U-513","Deutsche Werft","Point(-47.53333333 -27.28333333)",
"German submarine U-705","H. C. Stülcken Sohn",,"Okręty podwodne typu VIIC"
"German submarine U-849","Deutsche Schiff- und Maschinenbau","Point(-5.66666667 -6.5)",
"German submarine U-847","Deutsche Schiff- und Maschinenbau","Point(-37.96666667 28.31666667)",
"German submarine U-417","Danziger Werft","Point(-10.5 63.33333333)","Okręty podwodne typu VIIC"
"German submarine U-416","Danziger Werft",,"Okręty podwodne typu VIIC"
"German submarine U-415","Danziger Werft","Point(-4.5 48.4)","Okręty podwodne typu VIIC"
"German submarine U-418","Danziger Werft","Point(-8.91666667 47.08333333)","Okręty podwodne typu VIIC"
"German submarine U-412","Danziger Werft","Point(0.4 63.91666667)","Okręty podwodne typu VIIC"
"Niemiecki okręt podwodny U-79","Bremer Vulkan",,"okręty podwodne typu UE I"
"U-1009",,,
"German submarine U-600","Blohm + Voss","Point(-22.1167 40.5167)","Okręty podwodne typu VIIC"
"U-456","Deutsche Werke","Point(-26.9 46.65)","Okręty podwodne typu VIIC"
"U-233",,"Point(-59.81666667 42.26666667)",
"U-220",,,
"SM UC-8","AG Vulcan Stettin",,
"German submarine U-354","Flensburger Schiffbau-Gesellschaft",,"Okręty podwodne typu VIIC"
"German submarine U-390",,"Point(-0.8 49.86666667)","Okręty podwodne typu VIIC"
"SM UB-8","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBI"
"German submarine U-1221",,"Point(10.1667 54.3333)","Okręty podwodne typu IXC/40"
"German submarine U-1223",,"Point(8.58333 53.5333)","Okręty podwodne typu IXC/40"
"German submarine U-1223",,"Point(8.58333333 53.53333333)","Okręty podwodne typu IXC/40"
"German submarine U-1222",,"Point(-5.48333 46.5167)","Okręty podwodne typu IXC/40"
"German submarine U-1228",,"Point(-69.6167 42.5333)","Okręty podwodne typu IXC/40"
"German submarine U-1229",,"Point(-51.65 42.33333333)","Okręty podwodne typu IXC/40"
"German submarine U-1232",,"Point(7.4 54.18333333)",
"German submarine U-1231",,,
"German submarine U-525",,"Point(111.28 -6.2)","Okręty podwodne typu IXC/40"
"German submarine U-525",,"Point(-38.91666667 41.48333333)","Okręty podwodne typu IXC/40"
"German submarine U-850","Deutsche Schiff- und Maschinenbau","Point(-37.01666667 32.9)",
"German submarine U-868","AG Weser",,
"German submarine U-863",,"Point(-25.5 -10.75)",
"German submarine U-870","AG Weser",,
"German submarine U-871",,,"Okręty podwodne typu IXD-2"
"German submarine U-874",,,"Okręty podwodne typu IXD-2"
"German submarine U-875",,,
"German submarine U-879",,"Point(-74.0 36.5667)","Okręty podwodne typu IXC/40"
"German submarine U-878",,"Point(-10.55 47.5833)","Okręty podwodne typu IXC/40"
"German submarine U-878",,"Point(-10.55 47.58333333)","Okręty podwodne typu IXC/40"
"German submarine U-877","AG Weser","Point(-36.63333333 46.41666667)",
"German submarine U-881","AG Weser","Point(-47.73333333 43.3)",
"U-2322",,,
"German submarine U-745",,"Point(27.0 59.75)","Okręty podwodne typu VIIC"
"SM UC-12","AG Weser",,
"U-1233",,"Point(-8.9 55.85)","Okręty podwodne typu IXC/40"
"German submarine U-1234",,"Point(9.48333333 54.83333333)",
"German submarine U-1235",,"Point(-30.4167 42.9)",
"German submarine U-209","Friedrich Krupp Germaniawerft","Point(-38.0 52.0)","Okręty podwodne typu VIIC"
"German submarine U-206","Friedrich Krupp Germaniawerft","Point(-2.66666667 47.08333333)","Okręty podwodne typu VIIC"
"German submarine U-205","Friedrich Krupp Germaniawerft","Point(22.01666667 32.93333333)","Okręty podwodne typu VIIC"
"German submarine U-207","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"U-212","Friedrich Krupp Germaniawerft","Point(-0.21666667 50.45)","Okręty podwodne typu VIIC"
"German submarine U-223","Friedrich Krupp Germaniawerft","Point(14.16666667 38.8)","Okręty podwodne typu VIIC"
"German submarine U-222","Friedrich Krupp Germaniawerft","Point(19.5 54.41666667)","Okręty podwodne typu VIIC"
"German submarine U-224","Friedrich Krupp Germaniawerft","Point(0.81666667 36.46666667)","Okręty podwodne typu VIIC"
"German submarine U-225","Friedrich Krupp Germaniawerft","Point(-27.46666667 51.41666667)","Okręty podwodne typu VIIC"
"German submarine U-227","Friedrich Krupp Germaniawerft","Point(-6.66666667 64.08333333)","Okręty podwodne typu VIIC"
"German submarine U-227","Friedrich Krupp Germaniawerft","Point(-6.66666667 64.66666667)","Okręty podwodne typu VIIC"
"German submarine U-228","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"German submarine U-217","Friedrich Krupp Germaniawerft","Point(-42.83333333 30.3)","Okręty podwodne typu VIID"
"German submarine U-231","Friedrich Krupp Germaniawerft","Point(-20.63333333 44.25)","Okręty podwodne typu VIIC"
"German submarine U-235","Friedrich Krupp Germaniawerft","Point(10.65 57.73333333)","Okręty podwodne typu VIIC"
"German submarine U-241",,,"Okręty podwodne typu VIIC"
"German submarine U-240",,,"Okręty podwodne typu VIIC"
"German submarine U-243",,"Point(-6.66666667 47.1)","Okręty podwodne typu VIIC"
"German submarine U-246",,"Point(-4.88333333 53.66666667)","Okręty podwodne typu VIIC"
"German submarine U-259","Bremer Vulkan","Point(3.08333333 37.33333333)","Okręty podwodne typu VIIC"
"German submarine U-261","Bremer Vulkan","Point(-9.46666667 59.83333333)","Okręty podwodne typu VIIC"
"German submarine U-253","Bremer Vulkan","Point(-23.0 66.99997222)","Okręty podwodne typu VIIC"
"German submarine U-265","Bremer Vulkan","Point(-22.81666667 56.58333333)","Okręty podwodne typu VIIC"
"German submarine U-267","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"German submarine U-257","Bremer Vulkan","Point(-26.0 47.31666667)","Okręty podwodne typu VIIC"
"German submarine U-262","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"German submarine U-271","Bremer Vulkan","Point(-15.86666667 53.25)","Okręty podwodne typu VIIC"
"German submarine U-266",,,"Okręty podwodne typu VIIC"
"German submarine U-268","Bremer Vulkan","Point(-5.93333333 47.05)","Okręty podwodne typu VIIC"
"German submarine U-269","Bremer Vulkan","Point(-2.98333333 50.01666667)","Okręty podwodne typu VIIC"
"German submarine U-273","Bremer Vulkan","Point(-24.55 59.41666667)","Okręty podwodne typu VIIC"
"German submarine U-274","Bremer Vulkan","Point(-27.83333333 57.23333333)","Okręty podwodne typu VIIC"
"German submarine U-275",,"Point(0.06666667 50.6)","Okręty podwodne typu VIIC"
"German submarine U-276","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"German submarine U-277","Bremer Vulkan","Point(15.53333333 73.4)","typu VII"
"German submarine U-277","Bremer Vulkan","Point(15.53333333 73.4)","Okręty podwodne typu VIIC"
"German submarine U-283",,"Point(-12.83333333 60.75)","Okręty podwodne typu VIIC"
"German submarine U-284",,"Point(-30.38333333 55.06666667)","Okręty podwodne typu VIIC"
"German submarine U-286",,"Point(33.61666667 69.48333333)","Okręty podwodne typu VIIC"
"German submarine U-289",,"Point(0.46666667 73.53333333)","Okręty podwodne typu VIIC"
"German submarine U-288",,,"Okręty podwodne typu VIIC"
"German submarine U-290",,,"Okręty podwodne typu VIIC"
"U-301","Flender Werke","Point(7.06666667 41.45)","Okręty podwodne typu VIIC"
"German submarine U-302","Flender Werke","Point(-35.18333333 45.08333333)","Okręty podwodne typu VIIC"
"U-303","Flender Werke","Point(6.0 42.83333333)","Okręty podwodne typu VIIC"
"German submarine U-307","Flender Werke","Point(33.44 69.24)","Okręty podwodne typu VIIC"
"German submarine U-306","Flender Werke",,"Okręty podwodne typu VIIC"
"U-308","Flender Werke","Point(-3.15 64.46666667)","Okręty podwodne typu VIIC"
"German submarine U-311",,"Point(-19.1167 52.15)","Okręty podwodne typu VIIC"
"German submarine U-310",,,"Okręty podwodne typu VIIC"
"German submarine U-314",,"Point(24.5 73.68333333)","Okręty podwodne typu VIIC"
"German submarine U-315",,,"Okręty podwodne typu VIIC"
"German submarine U-316",,"Point(10.88333333 53.96666667)","Okręty podwodne typu VIIC"
"German submarine U-334","Nordseewerke","Point(-28.33333333 58.26666667)","Okręty podwodne typu VIIC"
"U-335","Nordseewerke","Point(-0.2 62.8)","Okręty podwodne typu VIIC"
"German submarine U-336","Nordseewerke","Point(-27.2833 62.7167)","Okręty podwodne typu VIIC"
"German submarine U-337","Nordseewerke","Point(-12.0 63.0)","Okręty podwodne typu VIIC"
"German submarine U-339","Nordseewerke",,"Okręty podwodne typu VIIC"
"German submarine U-342","Nordseewerke","Point(-29.33333333 60.53333333)","Okręty podwodne typu VIIC"
"German submarine U-343","Nordseewerke","Point(9.68333333 38.11666667)","Okręty podwodne typu VIIC"
"German submarine U-344","Nordseewerke","Point(15.4333 74.9)","Okręty podwodne typu VIIC"
"German submarine U-345","Nordseewerke",,"Okręty podwodne typu VIIC"
"German submarine U-346","Nordseewerke","Point(19.83333333 54.41666667)","Okręty podwodne typu VIIC"
"German submarine U-347","Nordseewerke",,"Okręty podwodne typu VIIC"
"German submarine U-348","Nordseewerke",,"Okręty podwodne typu VIIC"
"German submarine U-349","Nordseewerke",,"Okręty podwodne typu VIIC"
"German submarine U-356","Flensburger Schiffbau-Gesellschaft","Point(-25.66666667 43.5)","Okręty podwodne typu VIIC"
"German submarine U-356","Flensburger Schiffbau-Gesellschaft","Point(-25.66666667 45.5)","Okręty podwodne typu VIIC"
"German submarine U-350","Nordseewerke",,"Okręty podwodne typu VIIC"
"German submarine U-351","Flensburger Schiffbau-Gesellschaft",,"Okręty podwodne typu VIIC"
"German submarine U-357","Flensburger Schiffbau-Gesellschaft","Point(-15.66666667 57.16666667)","Okręty podwodne typu VIIC"
"German submarine U-359","Flensburger Schiffbau-Gesellschaft",,"Okręty podwodne typu VIIC"
"German submarine U-360",,"Point(13.06666667 72.46666667)","Okręty podwodne typu VIIC"
"German submarine U-361","Flensburger Schiffbau-Gesellschaft",,"Okręty podwodne typu VIIC"
"German submarine U-362","Flensburger Schiffbau-Gesellschaft","Point(89.45 75.85)","Okręty podwodne typu VIIC"
"German submarine U-364",,,"Okręty podwodne typu VIIC"
"German submarine U-366",,,"Okręty podwodne typu VIIC"
"German submarine U-367",,"Point(18.83333333 54.41666667)","Okręty podwodne typu VIIC"
"U-368","Flensburger Schiffbau-Gesellschaft","Point(-10.61666667 56.23333333)","Okręty podwodne typu VIIC"
"U-369",,"Point(-7.45 55.51666667)","Okręty podwodne typu VIIC"
"U-374","Howaldtswerke-Deutsche Werft","Point(16.0 37.8333)","Okręty podwodne typu VIIC"
"German submarine U-372","Howaldtswerke-Deutsche Werft","Point(34.61666667 32.46666667)","Okręty podwodne typu VIIC"
"German submarine U-375","Howaldtswerke-Deutsche Werft","Point(12.46666667 36.66666667)","Okręty podwodne typu VIIC"
"German submarine U-371","Howaldtswerke-Deutsche Werft","Point(5.65 37.81666667)","Okręty podwodne typu VIIC"
"German submarine U-370",,,"Okręty podwodne typu VIIC"
"German submarine U-377","Howaldtswerke-Deutsche Werft","Point(-20.16666667 49.65)","Okręty podwodne typu VIIC"
"German submarine U-383","Howaldtswerke-Deutsche Werft","Point(-12.16666667 47.4)","Okręty podwodne typu VIIC"
"German submarine U-385","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"German submarine U-387","Howaldtswerke-Deutsche Werft","Point(33.2 69.68333333)","Okręty podwodne typu VIIC"
"German submarine U-386","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"German submarine U-388","Howaldtswerke-Deutsche Werft","Point(-31.33333333 57.6)","Okręty podwodne typu VIIC"
"German submarine U-392",,"Point(-5.68333333 35.91666667)","Okręty podwodne typu VIIC"
"German submarine U-394",,"Point(4.16666667 69.78333333)","Okręty podwodne typu VIIC"
"German submarine U-391",,,"Okręty podwodne typu VIIC"
"German submarine U-398","Howaldtswerke-Deutsche Werft",,"Okręty podwodne typu VIIC"
"German submarine U-397",,,"Okręty podwodne typu VIIC"
"German submarine U-401","Danziger Werft","Point(-19.83333333 50.45)","Okręty podwodne typu VIIC"
"German submarine U-403","Danziger Werft",,"Okręty podwodne typu VIIC"
"German submarine U-405","Danziger Werft","Point(-31.23333333 49.0)","Okręty podwodne typu VIIC"
"German submarine U-410","Danziger Werft","Point(13.25 40.55)","Okręty podwodne typu VIIC"
"German submarine U-410","Danziger Werft","Point(13.25 40.55)","German Type VIIC/41 submarine"
"German submarine U-794",,"Point(9.81667 54.8)",
"U-804","Deutsche Schiff- und Maschinenbau","Point(11.25 57.96666667)","Okręty podwodne typu IXC/40"
"U-804","Deutsche Schiff- und Maschinenbau","Point(11.25 57.9667)","Okręty podwodne typu IXC/40"
"German submarine U-858","AG Weser",,
"German submarine U-867","AG Weser","Point(1.83333333 62.25)","Okręty podwodne typu IXC/40"
"German submarine U-884","AG Weser",,"Okręty podwodne typu IXD-1"
"HMS H6",,,"brytyjskie okręty podwodne typu H"
"German submarine U-389","Howaldtswerke-Deutsche Werft","Point(-28.43333333 60.85)","Okręty podwodne typu VIIC"
"French submarine Laubie","Kriegsmarinewerft Wilhelmshaven",,"Okręty podwodne typu VIIC"
"German submarine U-1018","Blohm + Voss","Point(-5.36666667 49.91666667)","German Type VIIC/41 submarine"
"U-1022",,,"German Type VIIC/41 submarine"
"U-1023",,,"German Type VIIC/41 submarine"
"German submarine U-1063",,"Point(-3.89 50.14833333)","German Type VIIC/41 submarine"
"U-1060",,"Point(12.0 65.4)","German Type VIIF submarine"
"German submarine U-1195",,"Point(-0.93828056 50.55618333)","Okręty podwodne typu VIIC"
"U-1206",,"Point(-1.65 57.35)","Okręty podwodne typu VIIC"
"German submarine U-1302","Flensburger Schiffbau-Gesellschaft","Point(-5.38333333 52.31666667)","German Type VIIC/41 submarine"
"German submarine U-1308","Flensburger Schiffbau-Gesellschaft","Point(9.43517 54.8083)","German Type VIIC/41 submarine"
"U-213","Friedrich Krupp Germaniawerft","Point(-22.83333333 36.75)","Okręty podwodne typu VIID"
"U-215","Friedrich Krupp Germaniawerft","Point(-66.379972222 41.479972222)","Okręty podwodne typu VIID"
"U-216","Friedrich Krupp Germaniawerft","Point(-19.41666667 48.35)","Okręty podwodne typu VIID"
"U-218","Friedrich Krupp Germaniawerft","Point(-7.3 55.46666667)","Okręty podwodne typu VIID"
"German submarine U-2323",,"Point(10.18333333 54.38333333)",
"German submarine U-2331",,"Point(18.0 54.0)",
"U-2321",,,
"German submarine U-2342",,"Point(14.33333333 54.01666667)",
"German submarine U-2344",,"Point(11.80833333 54.26666667)",
"U-2501",,"Point(9.95 53.5333)","Okręty podwodne typu XXI"
"German submarine U-272","Bremer Vulkan",,"Okręty podwodne typu VIIC"
"German submarine U-292",,"Point(0.95 62.6167)","German Type VIIC/41 submarine"
"German submarine U-297",,,"German Type VIIC/41 submarine"
"U-295",,,"German Type VIIC/41 submarine"
"U-294",,,"German Type VIIC/41 submarine"
"U-298",,"Point(-7.9 55.58333333)","German Type VIIC/41 submarine"
"U-299",,,"German Type VIIC/41 submarine"
"German submarine U-317",,"Point(1.75 62.05)","German Type VIIC/41 submarine"
"German submarine U-319",,,"German Type VIIC/41 submarine"
"German submarine U-322",,,"German Type VIIC/41 submarine"
"German submarine U-323",,,"German Type VIIC/41 submarine"
"German submarine U-324",,,"German Type VIIC/41 submarine"
"German submarine U-327",,,"German Type VIIC/41 submarine"
"U-328",,,"German Type VIIC/41 submarine"
"German submarine U-3506",,,
"German submarine U-393",,,"Okręty podwodne typu VIIC"
"German submarine U-419","Danziger Werft",,"Okręty podwodne typu VIIC"
"German submarine U-426",,,"Okręty podwodne typu VIIC"
"German submarine U-423","Danziger Werft",,"Okręty podwodne typu VIIC"
"German submarine U-424","Danziger Werft",,"Okręty podwodne typu VIIC"
"German submarine U-425",,,"Okręty podwodne typu VIIC"
"German submarine U-428",,,"Okręty podwodne typu VIIC"
"U-427",,"Point(-9.58333333 56.06666667)","Okręty podwodne typu VIIC"
"German submarine U-436","Schichau-Werke",,"Okręty podwodne typu VIIC"
"German submarine U-438","Schichau-Werke","Point(-45.16666667 52.0)","Okręty podwodne typu VIIC"
"German submarine U-443","Schichau-Werke","Point(2.41666667 36.91666667)","Okręty podwodne typu VIIC"
"German submarine U-445","Schichau-Werke",,"Okręty podwodne typu VIIC"
"German submarine U-446",,,"Okręty podwodne typu VIIC"
"German submarine U-448","Schichau-Werke",,"Okręty podwodne typu VIIC"
"German submarine U-451",,"Point(-6.13333333 35.91666667)","Okręty podwodne typu VIIC"
"German submarine U-451",,"Point(-6.13333 35.9167)","Okręty podwodne typu VIIC"
"German submarine U-452","Deutsche Werke",,"Okręty podwodne typu VIIC"
"German submarine U-455","Deutsche Werke","Point(9.85 44.06666667)","Okręty podwodne typu VIIC"
"German submarine U-457","Deutsche Werke",,"Okręty podwodne typu VIIC"
"German submarine U-461","Deutsche Werke","Point(-10.8 45.55)","Okręty podwodne typu XIV"
"German submarine U-466","Deutsche Werke",,"Okręty podwodne typu VIIC"
"German submarine U-467",,,"Okręty podwodne typu VIIC"
