"u_nazwa","u_stocznia","u_wrak","u_typ"
"U-255","Bremer Vulkan","Point(-13.63333333 51.26666667)","Okręty podwodne typu VIIC"
"German submarine U-182","AG Weser","Point(-20.58333333 33.91666667)",
"U-180","AG Weser","Point(-2.0 44.0)","Okręty podwodne typu IXD-1"
"German submarine U-556","Blohm + Voss","Point(-20.0 60.4)","Okręty podwodne typu VIIC"
"German submarine U-550",,"Point(-69.73333333 40.15)",
"U-42","AG Weser","Point(-16.0 49.2)","Okręty podwodne typu IXA"
"U-2511",,"Point(-7.633333333 55.55)",
"U-12","Friedrich Krupp Germaniawerft","Point(1.5 51.16666667)",
"SM U-105","Friedrich Krupp Germaniawerft",,"okręty podwodne typu  U 93"
"German submarine U-701","H. C. Stülcken Sohn","Point(-75.1115 35.23883333)","typu VII"
"German submarine U-701","H. C. Stülcken Sohn","Point(-75.1115 35.23883333)","Okręty podwodne typu VIIC"
"German submarine U-352","Flensburger Schiffbau-Gesellschaft","Point(-76.56483333 34.22783333)","typu VII"
"German submarine U-352","Flensburger Schiffbau-Gesellschaft","Point(-76.58333333 34.35)","typu VII"
"German submarine U-352","Flensburger Schiffbau-Gesellschaft","Point(-76.56483333 34.22783333)","Okręty podwodne typu VIIC"
"German submarine U-352","Flensburger Schiffbau-Gesellschaft","Point(-76.58333333 34.35)","Okręty podwodne typu VIIC"
"U-459","Deutsche Werke",,"Okręty podwodne typu XIV"
"SM U-31",,,"Okręty podwodne typu U-31"
"SM U-10","Friedrich Krupp Germaniawerft","Point(13.0 45.5)","Okręty podwodne typu UBI"
"SM U-10","Friedrich Krupp Germaniawerft","Point(13.0 45.5)","okręty podwodne typu U-10"
"German submarine U-309","Flender Werke","Point(-2.38333333 58.15)","Okręty podwodne typu VIIC"
"German submarine U-752","Kriegsmarinewerft Wilhelmshaven",,"Okręty podwodne typu VIIC"
"U-998",,,"German Type VIIC/41 submarine"
"U-91","Flender Werke",,"Okręty podwodne typu VIIC"
"U-59","Deutsche Werke",,
"German submarine U-130","AG Weser","Point(-35.583 10.0)","Okręty podwodne typu IXC"
"German submarine U-652","Howaldtswerke-Deutsche Werft","Point(25.18333333 31.91666667)","Okręty podwodne typu VIIC"
"German submarine U-744",,,"Okręty podwodne typu VIIC"
"SM U-74","Kaiserliche Werft Gdańsk",,"okręty podwodne typu UE I"
"German submarine U-629","Blohm + Voss","Point(-5.383333 48.566667)","Okręty podwodne typu VIIC"
"German submarine U-873","AG Weser","Point(-42.51666667 35.75)","Okręty podwodne typu IXD-1"
"U-530","Deutsche Werft",,"Okręty podwodne typu IXC/40"
"U-245",,"Point(-6.31666667 55.41666667)","Okręty podwodne typu VIIC"
"German submarine U-1006",,"Point(-4.81666667 60.98333333)","German Type VIIC/41 submarine"
"German submarine U-3508",,,"Okręty podwodne typu XXI"
